City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kavieng,91,PG,1566677020,76,-2.57,150.8,83.0,14.97
Torbay,90,CA,1566677023,76,47.66,-52.73,55.4,18.34
Moranbah,32,AU,1566677024,90,-22.0,148.04,55.82,5.57
Sao Filipe,57,CV,1566677025,86,14.9,-24.5,78.5,11.52
Codrington,40,AU,1566677029,93,-28.95,153.24,46.0,9.17
Albany,40,US,1566676857,49,42.65,-73.75,75.0,11.41
Cape Town,20,ZA,1566677017,93,-33.93,18.42,60.01,17.22
Jamestown,2,AU,1566677032,94,-33.21,138.6,37.1,3.44
Ayan,0,IR,1566677034,36,38.23,44.7,57.26,3.56
Saint-Philippe,75,CA,1566677035,60,45.36,-73.48,75.0,4.7
Hilo,90,US,1566677036,69,19.71,-155.08,82.4,13.22
Finnsnes,100,NO,1566677037,100,69.23,17.98,48.99,9.17
Yar-Sale,100,RU,1566677039,76,66.83,70.83,47.18,20.33
Bluff,0,AU,1566677040,82,-23.58,149.07,56.0,4.85
Sorland,100,NO,1566677041,89,67.67,12.69,53.48,15.08
Ilulissat,5,GL,1566677042,34,69.22,-51.1,48.2,13.87
Flinders,0,AU,1566677044,52,-34.58,150.85,57.99,6.93
Aswan,0,EG,1566677045,17,24.09,32.9,95.0,8.05
Zalari,0,RU,1566677046,94,53.57,102.52,47.54,3.96
Kapit,94,MY,1566677047,98,2.02,112.94,72.02,0.81
Vaini,65,IN,1566677049,92,15.34,74.49,75.26,2.28
Hermanus,0,ZA,1566677050,95,-34.42,19.24,55.99,1.01
Bambous Virieux,75,MU,1566677051,88,-20.34,57.76,69.8,3.36
Kloulklubed,90,PW,1566677052,94,7.04,134.26,75.2,6.93
Krasnyy Chikoy,100,RU,1566677054,98,50.36,108.75,53.84,2.71
Schongau,80,DE,1566677055,82,47.81,10.9,69.01,5.82
Mar del Plata,100,AR,1566677056,54,-46.43,-67.52,54.02,12.77
New Norfolk,75,AU,1566677058,98,-42.78,147.06,43.0,6.93
Traverse City,1,US,1566677059,44,44.76,-85.62,78.01,8.05
Burnie,0,AU,1566677060,66,-41.05,145.91,44.01,18.99
Bulgan,0,MN,1566677062,71,48.81,103.53,45.38,5.97
Touros,75,BR,1566677063,74,-5.2,-35.46,80.6,16.11
Umm Kaddadah,0,SD,1566677064,46,13.6,26.69,84.98,8.63
Geraldton,75,CA,1566677065,49,49.72,-86.95,69.8,9.17
Qaanaaq,92,GL,1566677067,66,77.48,-69.36,37.82,16.93
Kaihua,14,CN,1566677068,93,29.14,118.41,74.36,4.74
Lucapa,25,AO,1566677069,31,-8.42,20.74,66.26,1.03
Zangakatun,0,AM,1566677070,41,39.82,45.04,75.2,5.82
Yellowknife,75,CA,1566677072,71,62.45,-114.38,57.2,4.7
Tiksi,64,RU,1566677073,89,71.64,128.87,47.18,6.96
Neryungri,63,RU,1566677074,94,56.66,124.71,49.52,4.41
Telimele,100,GN,1566677077,99,10.9,-13.03,70.76,3.38
Turukhansk,100,RU,1566677078,90,65.8,87.96,55.28,9.78
Ler,75,NO,1566677079,82,63.2,10.3,60.8,13.87
Ishigaki,100,JP,1566677080,81,24.34,124.16,84.44,30.62
Airai,0,TL,1566677082,59,-8.93,125.41,65.54,4.21
Kabo,100,CF,1566677084,98,7.69,18.62,67.52,3.15
Baruun-Urt,68,MN,1566677085,85,46.68,113.28,53.84,6.38
Santa Lucia,40,IT,1566677087,61,41.98,12.66,82.0,1.12
Grand Gaube,75,MU,1566677088,88,-20.01,57.66,69.8,3.36
Maltahohe,0,NA,1566677089,25,-24.83,16.98,51.14,5.39
Panguipulli,90,CL,1566677090,93,-39.64,-72.33,57.0,8.05
Zheshart,100,RU,1566677092,99,62.09,49.59,50.78,2.66
Bud,100,NO,1566677093,93,62.91,6.91,68.0,5.82
Meulaboh,100,ID,1566677094,89,4.14,96.13,75.44,11.32
Oksfjord,0,NO,1566677096,80,70.24,22.35,46.4,4.7
Nioro,41,GM,1566677097,78,13.79,-15.05,79.58,12.08
Rikitea,73,PF,1566677098,68,-23.12,-134.97,69.5,23.26
Dikson,100,RU,1566677099,95,73.51,80.55,41.06,17.16
Cuenca,90,EC,1566677101,63,-2.9,-79.0,60.8,8.05
Lagoa,0,PT,1566677103,69,37.14,-8.45,73.4,9.17
Te Anau,50,NZ,1566677104,78,-45.41,167.72,45.38,9.13
Dire Dawa,68,ET,1566677105,68,9.59,41.86,68.24,11.48
Bonthe,100,SL,1566677107,89,7.53,-12.5,76.7,3.83
Sitka,71,US,1566677109,60,37.17,-99.65,81.0,18.01
Arraial do Cabo,20,BR,1566677110,73,-22.97,-42.02,71.6,10.29
Panzhihua,0,CN,1566677111,80,26.59,101.72,62.66,0.96
Vardo,90,US,1566677113,47,39.62,-77.74,77.0,5.82
Dhangadhi,97,NP,1566677114,79,28.7,80.57,72.92,3.2
Timra,0,SE,1566677115,76,62.49,17.33,57.99,3.36
Mahibadhoo,100,MV,1566677116,74,3.78,72.97,81.92,10.54
Chuy,95,UY,1566677013,81,-33.69,-53.46,52.76,8.25
Souillac,0,FR,1566677119,42,45.6,-0.6,82.4,6.93
Sistranda,75,NO,1566677121,77,63.73,8.83,64.99,14.99
Faanui,79,PF,1566677123,67,-16.48,-151.75,77.96,7.25
Balikpapan,83,ID,1566677124,99,-1.24,116.86,71.84,3.94
Aligudarz,0,IR,1566677125,21,33.4,49.69,57.98,3.18
Paamiut,0,GL,1566677126,78,61.99,-49.67,42.32,14.76
Kisangani,36,CD,1566677128,81,0.52,25.21,72.38,0.81
Cherskiy,86,RU,1566677129,41,68.75,161.3,61.4,4.5
Sharjah,0,AE,1566676985,37,25.36,55.39,98.6,4.7
Clyde River,97,CA,1566677133,47,70.47,-68.59,51.32,1.74
Carnarvon,0,ZA,1566677134,20,-30.97,22.13,60.5,10.25
Harper,20,US,1566677135,46,30.3,-99.24,96.01,11.41
Lebu,75,ET,1566677137,87,8.96,38.73,57.2,8.05
Hede,71,SE,1566677138,72,60.45,15.49,62.6,6.93
Aasiaat,0,GL,1566677139,58,68.71,-52.87,41.42,7.7
Zyryanovsk,0,KZ,1566677140,73,49.74,84.27,47.0,5.03
Pionerskiy,47,RU,1566677142,97,61.2,62.86,47.36,4.43
Kiomboi,21,TZ,1566677143,61,-4.28,34.41,67.52,6.85
Iquitos,75,PE,1566677144,59,-3.75,-73.25,89.6,5.82
Srednekolymsk,100,RU,1566677145,62,67.46,153.71,62.66,5.5
Mehamn,87,NO,1566677147,73,71.03,27.85,40.7,6.51
Mahebourg,75,MU,1566677148,88,-20.41,57.7,69.8,3.36
Cidreira,0,BR,1566677149,71,-30.17,-50.22,57.8,8.52
Conceicao do Araguaia,82,BR,1566677150,26,-8.26,-49.26,89.12,1.5
Svetogorsk,0,FI,1566677152,87,61.11,28.87,57.0,4.7
Port Blair,100,IN,1566677153,81,11.67,92.75,81.38,23.44
Chokurdakh,100,RU,1566677154,56,70.62,147.9,57.98,7.18
Khatanga,40,RU,1566677155,96,71.98,102.47,48.8,7.05
Sann,0,PK,1566677157,66,26.04,68.14,87.8,11.41
Atar,1,MR,1566677158,31,20.52,-13.05,94.7,12.39
Puerto Ayora,20,EC,1566676944,65,-0.74,-90.35,80.6,10.29
Warrington,0,GB,1566677160,73,53.39,-2.59,73.0,3.36
Broken Hill,75,AU,1566677162,65,-31.97,141.45,46.4,13.87
Bredasdorp,0,ZA,1566677163,87,-34.53,20.04,55.99,2.24
Tuatapere,90,NZ,1566677165,85,-46.13,167.69,45.0,1.01
Nanortalik,100,GL,1566677166,72,60.14,-45.24,44.66,10.38
Bowen,90,AU,1566677168,93,-20.01,148.25,64.0,3.36
Laguna,40,BZ,1566677170,75,16.17,-88.94,89.6,9.17
Zabol,0,IR,1566677172,14,31.03,61.49,84.2,28.86
Grindavik,40,IS,1566677173,81,63.84,-22.43,53.6,6.93
Doha,0,QA,1566677013,71,25.29,51.53,93.2,12.75
Brigantine,75,US,1566677178,44,39.41,-74.36,80.01,10.29
Necochea,100,AR,1566677179,53,-38.55,-58.74,63.0,10.0
Acapulco,40,MX,1566677180,66,16.86,-99.88,87.8,5.82
Concepcion,100,CO,1566677182,60,9.56,-73.66,90.92,5.44
Zhigansk,42,RU,1566677183,85,66.77,123.37,49.7,4.72
Huron,40,US,1566677184,57,44.36,-98.21,78.8,20.8
Bodden Town,75,KY,1566677186,74,19.28,-81.25,84.2,11.41
Leningradskiy,94,RU,1566677187,86,69.38,178.42,42.68,6.6
Luxor,0,EG,1566677188,26,25.7,32.65,91.4,5.82
Kulhudhuffushi,94,MV,1566677190,80,6.62,73.07,81.56,14.18
Thompson,90,CA,1566677191,100,55.74,-97.86,62.6,5.82
Worland,1,US,1566677192,20,44.02,-107.96,86.0,4.7
Chapais,1,CA,1566677193,35,49.78,-74.86,71.6,3.29
Vulcan,34,CA,1566677195,36,50.4,-113.26,75.99,3.0
Georgetown,20,GY,1566677053,70,6.8,-58.16,86.0,13.87
Liverpool,0,GB,1566677074,73,53.41,-2.98,73.0,3.36
Taseyevo,100,RU,1566677199,98,57.22,94.9,55.64,5.44
Sobolevo,0,RU,1566677201,91,54.43,31.9,57.62,5.26
Vila Franca do Campo,75,PT,1566677202,94,37.72,-25.43,71.6,14.99
Rawson,50,AR,1566677204,33,-43.3,-65.11,62.12,12.68
Butaritari,100,KI,1566677205,70,3.07,172.79,84.62,6.98
Vao,0,EE,1566677206,93,59.1,26.19,55.1,2.51
San Patricio,0,PY,1566677207,69,-26.98,-56.83,68.78,5.48
Mae Chan,20,TH,1566677211,100,20.15,99.85,75.2,1.59
Pevek,0,RU,1566677212,78,69.7,170.27,42.32,1.12
Henties Bay,0,NA,1566677214,57,-22.12,14.28,64.82,12.75
Omsukchan,100,RU,1566677215,84,62.53,155.8,50.24,7.31
Byron Bay,40,AU,1566677218,93,-28.65,153.62,57.2,9.17
Dunedin,100,NZ,1566676986,53,-45.87,170.5,50.0,3.0
Avera,75,US,1566677220,59,33.19,-82.53,89.6,3.36
Rapid Valley,75,US,1566677221,64,44.06,-103.15,82.0,9.17
Port Lincoln,71,AU,1566677223,56,-34.72,135.86,52.04,8.97
Tuktoyaktuk,90,CA,1566677224,86,69.44,-133.03,41.0,19.46
Aubergenville,0,FR,1566677225,53,48.96,1.86,80.6,5.82
Wairoa,0,NZ,1566677226,81,-39.04,177.43,43.0,5.01
Atasu,0,KZ,1566677229,47,48.68,71.64,61.58,2.21
Nikolskoye,0,RU,1566677230,82,59.7,30.79,57.2,11.18
Hasaki,75,JP,1566677085,88,35.73,140.83,73.4,12.75
Marrakesh,40,MA,1566677232,17,31.63,-7.99,98.6,8.05
Bela,13,PK,1566677234,75,26.23,66.31,79.04,0.87
Vanavara,100,RU,1566677236,96,60.35,102.28,48.44,4.34
Palana,100,RU,1566677238,86,59.08,159.95,51.14,4.61
Castro,75,CL,1566677239,76,-42.48,-73.76,51.8,12.75
Agapovka,20,RU,1566677240,76,53.3,59.13,51.8,8.95
Namibe,44,AO,1566677242,88,-15.19,12.15,67.52,7.99
Port Hardy,75,CA,1566677059,93,50.7,-127.42,59.0,2.24
Kabalo,29,CD,1566677244,27,-6.05,26.92,82.1,4.79
Porto Novo,40,BR,1566677245,59,-23.68,-45.44,66.2,10.29
Fortuna,20,US,1566677246,60,40.6,-124.16,90.0,10.29
Cayenne,4,GF,1566677248,62,4.94,-52.33,86.0,8.05
Boguchany,100,RU,1566677250,99,58.38,97.46,54.56,3.0
Portland,90,US,1566676928,56,43.66,-70.25,73.0,12.75
Champerico,40,MX,1566677252,58,16.38,-93.6,87.8,5.82
Ranong,100,TH,1566677254,83,9.96,98.62,80.48,21.7
Arauca,75,VE,1566677177,66,7.08,-70.76,86.0,4.7
Buin,75,CL,1566677256,52,-33.73,-70.74,75.2,3.36
Constitucion,75,MX,1566677259,46,23.99,-104.67,75.99,5.82
Axim,100,GH,1566677262,91,4.87,-2.24,75.62,12.06
Dunmore East,75,IE,1566677263,100,52.15,-6.99,63.0,1.12
Upernavik,100,GL,1566677265,65,72.79,-56.15,43.76,9.93
Los Alamos,0,US,1566677267,21,35.88,-106.3,90.0,6.93
Arcot,100,IN,1566677268,78,12.91,79.32,76.34,10.27
Lufilufi,40,WS,1566677269,83,-13.87,-171.6,78.8,13.33
Provideniya,26,RU,1566677270,50,64.42,-173.23,52.94,3.65
Mount Isa,67,AU,1566677272,42,-20.73,139.49,46.4,1.12
Rome,40,IT,1566677030,61,41.89,12.48,82.0,1.12
Shelburne,40,CA,1566677035,52,44.08,-80.2,75.99,6.93
Padang,100,ID,1566677276,79,-0.92,100.36,80.48,11.95
Saint-Augustin,40,CA,1566677277,53,45.63,-73.98,75.0,8.05
Biak,100,ID,1566677279,98,-0.91,122.88,63.38,4.25
Tasiilaq,20,GL,1566677280,65,65.61,-37.64,46.4,6.93
Pandamatenga,0,BW,1566677282,32,-18.54,25.64,55.46,2.89
Karonga,18,MW,1566677283,88,-9.94,33.93,55.46,3.02
San Pedro,100,AR,1566677284,56,-33.68,-59.66,66.99,1.99
Muros,0,ES,1566677285,82,42.77,-9.06,69.01,4.7
Talnakh,90,RU,1566677288,93,69.49,88.39,53.6,2.24
Pokhara,100,NP,1566677289,89,28.21,83.99,56.0,2.48
Corsicana,1,US,1566677290,49,32.09,-96.46,93.99,5.82
Ribeira Grande,20,PT,1566677292,68,38.52,-28.7,71.6,11.41
Maine-Soroa,77,NE,1566677293,76,13.21,12.02,75.8,9.8
Okhotsk,100,RU,1566677294,91,59.36,143.24,54.56,2.68
Zharkovskiy,0,RU,1566677296,96,55.85,32.27,55.46,3.11
Saint-Marc-des-Carrieres,1,CA,1566677297,60,46.68,-72.05,71.01,9.17
Pisco,20,PE,1566677298,30,-13.71,-76.2,71.6,11.41
Salalah,75,OM,1566677299,94,17.01,54.1,78.8,6.93
Raudeberg,99,NO,1566677301,77,61.99,5.14,64.99,21.92
Luderitz,0,NA,1566677306,15,-26.65,15.16,80.6,10.29
Puerto Penasco,5,MX,1566677196,41,31.32,-113.53,93.2,11.41
Kankan,100,GN,1566677309,98,10.38,-9.3,69.32,4.68
Qasigiannguit,5,GL,1566677166,34,68.82,-51.19,48.2,13.87
Saldanha,100,PT,1566677311,35,41.42,-6.55,76.34,4.5
Rosetta,40,EG,1566677313,78,31.4,30.42,80.6,10.29
Anadyr,40,RU,1566677314,93,64.73,177.51,50.0,2.24
Bitung,20,ID,1566677317,88,1.44,125.19,73.4,3.71
Balingasay,100,PH,1566677318,79,16.36,119.86,83.54,18.75
Sines,0,PT,1566677127,84,37.96,-8.87,64.99,3.0
Ponta Delgada,75,PT,1566677321,94,37.73,-25.67,71.6,14.99
Wagar,91,US,1566677323,58,31.44,-87.99,93.0,1.99
Marienburg,0,DE,1566677324,60,52.12,9.98,77.0,4.7
Banda Aceh,100,ID,1566677325,88,5.56,95.32,78.14,27.16
Mabama,100,SL,1566677327,98,8.94,-11.9,72.74,2.39
Kanye,0,BW,1566677328,21,-24.98,25.34,59.24,9.28
Goundam,100,ML,1566677329,49,16.42,-3.66,89.3,10.54
Maragogi,14,BR,1566677132,93,-9.01,-35.22,70.22,4.92
Severo-Kurilsk,100,RU,1566677331,93,50.68,156.12,47.72,31.32
Araceli,100,PH,1566677333,97,10.55,119.99,74.72,1.48
Mount Gambier,90,AU,1566677334,93,-37.83,140.78,41.0,5.82
Pavlovskiy Posad,40,RU,1566677335,63,55.78,38.65,66.99,8.95
Kodiak,75,US,1566677339,64,39.95,-94.76,77.0,13.87
Ankang,13,CN,1566677340,87,32.73,108.99,68.6,2.42
Itarema,0,BR,1566677341,65,-2.92,-39.92,78.14,13.35
Longyearbyen,90,NO,1566677343,88,78.22,15.63,37.1,6.11
Kenai,40,US,1566677344,51,60.55,-151.26,64.0,8.05
Kununurra,99,AU,1566677345,76,-15.77,128.74,51.8,3.4
Miri,100,NG,1566677346,92,10.31,9.75,69.14,0.16
Naryan-Mar,63,RU,1566677348,95,67.67,53.09,39.44,6.78
Nantucket,1,US,1566677349,68,41.28,-70.1,73.0,17.22
La Playa,20,CO,1566677351,63,11.04,-74.87,93.2,13.87
Mathbaria,100,BD,1566677352,91,22.29,89.96,79.22,7.11
Dukat,1,AL,1566677353,53,40.25,19.57,84.99,1.99
Sendafa,75,ET,1566677354,87,9.16,39.02,57.2,8.05
Assomada,47,CV,1566677356,84,15.1,-23.68,79.4,6.55
Mount Darwin,0,ZW,1566677357,77,-16.77,31.58,52.04,3.09
Takoradi,100,GH,1566677358,88,4.89,-1.75,75.26,6.44
Santa Rosalia,0,IT,1566677359,74,38.07,13.27,82.0,3.36
Floresti,74,MD,1566677361,61,47.89,28.3,69.14,10.18
Hervey Bay,0,AU,1566677362,93,-25.3,152.85,52.0,2.24
Shimoda,89,JP,1566677363,3,34.7,138.93,75.99,6.17
Forestville,20,CA,1566677365,39,48.74,-69.09,66.2,8.05
Teknaf,100,BD,1566677367,87,20.86,92.31,80.84,18.23
Khorixas,0,NA,1566677368,17,-20.37,14.96,65.72,5.41
Fern Creek,1,US,1566677369,39,38.16,-85.59,82.0,12.75
Tiznit,36,MA,1566677370,63,29.7,-9.73,74.18,17.2
Tamasane,0,BW,1566677371,39,-22.42,27.4,53.84,4.12
Dingle,100,PH,1566677373,86,11.0,122.67,74.18,3.31
Barbastro,0,ES,1566677374,49,42.04,0.13,81.0,2.24
Oistins,40,BB,1566677180,66,13.07,-59.53,87.8,18.34
Ladan,0,UA,1566677376,68,50.51,32.59,61.76,7.65
Puksoozero,100,RU,1566677377,96,62.59,40.61,52.04,9.75
Luena,79,AO,1566677379,31,-11.78,19.91,57.08,2.37
Manggar,100,ID,1566677380,87,-2.88,108.27,76.7,2.73
Faya,40,SA,1566677381,52,18.39,42.45,71.6,8.05
Narsaq,75,GL,1566677384,27,60.91,-46.05,53.6,21.92
Kungurtug,94,RU,1566677385,87,50.6,97.53,39.98,0.49
Lumeje,3,AO,1566677386,25,-11.56,20.78,59.24,3.2
Sheridan,75,US,1566677388,19,39.65,-105.03,87.01,8.05
Los Llanos de Aridane,0,ES,1566677389,83,28.66,-17.92,75.2,16.11
Keti Bandar,100,PK,1566677390,79,24.14,67.45,80.66,15.48
Sosnovo-Ozerskoye,94,RU,1566677392,92,52.53,111.54,51.86,4.68
Oranjemund,0,ZA,1566677394,62,-28.55,16.43,61.04,4.32
Jinji,100,CN,1566677395,84,22.16,112.49,79.94,3.74
Belmonte,76,PT,1566677396,52,40.36,-7.35,71.01,4.85
Canby,1,US,1566677397,36,45.26,-122.69,80.01,3.36
Am Timan,100,TD,1566677399,95,11.04,20.28,72.56,4.74
Japura,100,ID,1566677400,76,-0.42,102.29,74.0,3.02
Gotsu,0,JP,1566677401,79,35.01,132.22,75.08,12.8
San-Pedro,100,CI,1566677404,96,4.75,-6.64,71.84,4.25
Nautla,30,MX,1566677405,65,20.22,-96.78,89.3,14.92
Manuk Mangkaw,100,PH,1566677406,78,4.8,119.85,82.28,8.75
Ikast,0,DK,1566677407,68,56.14,9.15,68.0,5.82
Saint Anthony,40,US,1566677408,19,43.97,-111.68,80.6,12.75
Beringovskiy,38,RU,1566677410,67,63.05,179.32,57.44,6.26
Nemuro,97,JP,1566677411,88,43.32,145.57,60.86,10.49
Hay River,75,CA,1566677412,82,60.82,-115.79,59.0,8.05
Matao,0,BR,1566677413,47,-21.6,-48.37,69.32,8.21
Itaituba,20,BR,1566677415,53,-4.26,-55.99,95.0,8.05
Bilma,61,NE,1566677416,39,18.69,12.92,89.84,9.35
Maniitsoq,0,GL,1566677417,73,65.42,-52.9,45.2,8.9
Quillota,0,CL,1566677418,59,-32.88,-71.25,75.0,12.75
Crotone,0,IT,1566677419,70,39.09,17.12,76.34,3.42
Yinchuan,0,CN,1566677421,59,38.48,106.21,64.64,0.78
Contamana,91,PE,1566677422,36,-7.35,-75.01,91.28,3.24
Sayyan,52,YE,1566677423,60,15.17,44.32,71.48,2.3
Kavaratti,100,IN,1566677425,79,10.57,72.64,81.56,16.11
Nebolchi,0,RU,1566677426,95,59.12,33.35,51.86,5.77
Xai-Xai,0,MZ,1566677427,91,-25.04,33.64,59.78,4.97
Kawambwa,21,ZM,1566677428,41,-9.8,29.07,63.02,6.33
Havelock,90,US,1566677273,83,34.88,-76.9,80.01,6.93
Pangnirtung,90,CA,1566677431,87,66.15,-65.72,46.4,11.41
Port Elizabeth,75,US,1566677432,44,39.31,-74.98,80.01,10.29
Deputatskiy,0,RU,1566677433,84,69.3,139.9,51.86,5.53
Ostrovnoy,100,RU,1566677434,95,68.05,39.51,44.12,9.04
Willowmore,0,ZA,1566677436,53,-33.3,23.49,54.56,2.84
Arman,100,RU,1566677437,95,59.7,150.17,50.6,3.42
Waipawa,0,NZ,1566677438,82,-39.94,176.59,48.99,5.99
Along,10,IN,1566677439,91,28.17,94.8,57.26,7.07
Bismarck,90,US,1566677165,73,46.81,-100.78,81.0,21.92
Elko,1,US,1566677435,16,40.83,-115.76,91.99,13.87
Khani,75,GE,1566677443,100,41.96,42.96,73.4,1.12
Lata,97,IN,1566677444,97,30.78,78.62,44.12,1.34
Weligama,100,LK,1566677446,79,5.97,80.42,81.2,16.6
Hirara,45,JP,1566677448,80,24.8,125.28,84.44,27.45
Ixtapa,40,MX,1566677449,63,20.71,-105.21,91.4,9.17
Nyurba,0,RU,1566677451,96,63.29,118.35,48.44,1.9
Salaga,99,GH,1566677452,93,8.55,-0.52,73.1,6.42
Isangel,96,VU,1566677454,68,-19.55,169.27,68.42,19.13
Buala,100,SB,1566677455,83,-8.15,159.59,79.94,15.12
Inuvik,75,CA,1566677456,61,68.36,-133.71,46.4,10.29
Warmbad,20,DE,1566677457,77,50.67,13.08,73.99,4.7
Beloha,57,MG,1566677459,73,-25.17,45.06,66.8,16.46
Plettenberg Bay,0,ZA,1566677460,49,-34.05,23.37,57.98,2.71
Barabash,90,RU,1566677461,100,43.19,131.5,59.0,3.04
Ballina,75,IE,1566677463,100,54.11,-9.15,62.6,6.93
Nicolas Bravo,75,MX,1566677464,41,24.39,-104.74,77.0,2.24
Xining,94,CN,1566677465,89,36.62,101.77,47.72,4.05
Honningsvag,100,NO,1566677466,59,70.98,25.97,44.66,6.26
Kruisfontein,0,ZA,1566677468,67,-34.0,24.73,55.82,5.44
Shu,0,KZ,1566677469,33,43.6,73.76,67.7,7.96
Parana,75,BR,1566677470,65,-7.52,-72.89,82.4,6.93
Bayonet Point,1,US,1566677231,52,28.33,-82.68,95.0,6.93
San Policarpo,100,PH,1566677473,85,12.18,125.51,77.6,4.88
Alofi,61,NU,1566677474,83,-19.06,-169.92,78.8,5.82
Soure,0,PT,1566677475,77,40.06,-8.63,66.99,13.87
Nador,20,MA,1566677427,73,35.17,-2.93,77.0,6.93
Pundaguitan,100,PH,1566677477,81,6.37,126.17,80.12,5.06
Kutum,12,SD,1566677479,56,14.2,24.66,77.24,7.43
Puerto Madryn,100,AR,1566677363,33,-42.77,-65.04,64.64,9.19
Sarangani,100,PH,1566677481,73,5.4,125.46,82.1,2.26
Tecoanapa,40,MX,1566677482,70,16.99,-99.26,87.8,8.05
Saint-Georges,0,CA,1566677484,58,46.12,-70.67,69.01,1.01
Kudahuvadhoo,100,MV,1566677486,72,2.67,72.89,82.46,8.75
Saint-Junien,0,FR,1566677488,36,45.89,0.9,82.4,4.7
Mana,98,NG,1566677489,76,13.03,5.27,78.68,16.37
Sorong,100,ID,1566677490,90,-0.86,131.25,74.0,7.56
Nianzishan,0,CN,1566677492,91,47.51,122.88,55.28,1.63
Ilhabela,54,BR,1566677493,76,-23.78,-45.36,66.8,9.98
Sao Joao da Barra,75,BR,1566677342,73,-21.64,-41.05,73.4,9.17
Avesta,83,SE,1566677495,72,60.15,16.18,62.6,6.93
Cabo San Lucas,40,MX,1566677402,78,22.89,-109.91,90.0,12.75
Ardesen,40,TR,1566677498,94,41.19,40.99,71.6,5.82
Iqaluit,75,CA,1566677500,62,63.75,-68.52,57.2,16.11
Mossendjo,100,CG,1566677502,77,-2.95,12.72,72.92,1.81
Saskylakh,11,RU,1566677503,85,71.97,114.09,46.46,3.91
Noumea,90,NC,1566677504,63,-22.28,166.46,69.01,2.24
Saravan,75,AM,1566677505,28,39.72,45.65,84.2,6.93
Derzhavinsk,100,KZ,1566677508,40,51.1,66.31,68.24,5.88
Springdale,75,US,1566677314,88,36.19,-94.13,82.99,10.29
Surenavan,1,AM,1566677510,41,39.75,44.8,80.6,5.82
Bubaque,100,GW,1566677511,83,11.28,-15.83,79.76,16.49
Yulara,0,AU,1566677453,57,-25.24,130.99,51.8,6.93
Koumac,61,NC,1566677513,65,-20.56,164.28,68.6,9.73
Lavrentiya,100,RU,1566677515,62,65.58,-170.99,52.58,4.14
